약국수,약국명,대표전화,시도,도로명주소,Latitude,Longitude,지번주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
12,365종로약국,02-2215-8704,서울특별시,"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",37.570255,127.0574035,,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00
13,365행복약국,032-429-8184,인천광역시,"인천광역시 남동구 논고개로123번길 35, 칼리오페 1층 A동 126호 (논현동)",37.4014752,126.7220566,,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~19:00,,
14,7번약국,02-904-7773,서울특별시,"서울특별시 강북구 도봉로 339, 1층 (수유동)",37.6382148,127.0254741,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,13:00~25:00,13:00~25:00
15,W스토아청와약국,02-855-1482,서울특별시,서울특별시 구로구 디지털로 227 (가리봉동),37.480431,126.8909028,,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00
16,가까운약국,02-356-9813,서울특별시,"서울특별시 은평구 통일로 738, 1층 3호 (불광동)",37.6098232,126.9348476,,08:50~23:00,08:50~22:00,08:50~23:00,08:50~22:00,08:50~23:00,08:50~22:00,13:00~22:00,09:30~22:00
17,가나안약국,02-434-9259,서울특별시,"서울특별시 중랑구 봉우재로 39, (면목동)",37.5906831,127.0775448,서울특별시 중랑구 면목2동 182-4,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~21:30,,09:00~21:30
18,가람약국,052-257-7584,울산광역시,울산광역시 남구 삼산로 159-1 (달동),35.5370485,129.3246901,,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00
19,간석온누리약국,032-868-6682,인천광역시,"인천광역시 남동구 경원대로 971 (간석동, 홈플러스 2층일부)",37.4695138,126.6891949,인천광역시 남동구 간석4동 616-3,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
20,강남새천년온누리약국,02-552-3524,서울특별시,"서울특별시 강남구 도곡로 523, 1층 (대치동)",37.5000187,127.0636592,서울특별시 강남구 대치동 986-9 대치순복음교회,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,13:00~22:30,13:00~22:30
21,강남약국,031-285-9901,경기도,경기도 용인시 기흥구 신구로12번길 19 (구갈동),37.2740658,127.1113601,,09:00~19:00,09:00~24:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,
22,강남웰약국,02-6440-5656,서울특별시,"서울특별시 강남구 강남대로 432, 점프밀라노 지하1층 101호 (역삼동)",37.5012747,127.0266415,서울특별시 강남구 역삼1동 815,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:00~20:30,10:00~21:00
23,강남효약국,031-286-3379,경기도,경기도 용인시 기흥구 신구로12번길 11-1 (구갈동),37.2735984,127.1105515,,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,
24,강동성실약국,02-478-7001,서울특별시,"서울특별시 강동구 진황도로 81, 강동투웨니퍼스트 1층 101호 (길동)",37.5396392,127.1476018,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,14:00~22:00,14:00~22:00
25,강동태평양약국,02-473-3377,서울특별시,서울특별시 강동구 양재대로 1343 (성내동),37.5302922,127.1287651,,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:40,09:00~22:00,09:00~22:00
26,강서홈약국,02-2659-1823,서울특별시,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 1층 (등촌동)",37.558418,126.854838,,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,,10:00~22:30,10:00~22:30
27,갤러리약국,053-256-3651,대구광역시,"대구광역시 중구 중앙대로 309, 1층 (남산동)",35.8608858,128.5922499,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,
28,갤러리약국,02-6227-5578,서울특별시,서울특별시 강남구 학동로20길 55 106호,37.510041,127.027186,서울특별시 강남구 논현동 158 해림빌딩 106호,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,,
29,거제프라자약국,055-638-1351,경상남도,경상남도 거제시 거제중앙로 1916-1,34.8891497,128.6229695,경상남도 거제시 고현동 961-31,09:00~24:00,09:00~24:00,09:00~24:00,09:00~22:00,09:00~22:00,09:00~24:00,09:00~24:00,09:00~24:00
30,건강약국,055-757-6223,경상남도,경상남도 진주시 하대로 138,35.1927216,128.1266252,"경상남도 진주시 하대동 101 현대아파트 하대동,현대아파트",08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,21:00~23:00,21:00~23:00,21:00~23:00
31,건강약국,032-548-2095,인천광역시,"인천광역시 계양구 봉오대로 785, (주)이마트 (작전동)",37.5306551,126.7307527,,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,10:00~23:00
32,건대가온약국,02-453-4669,서울특별시,"서울특별시 광진구 광나루로 410, 105호 (화양동, KCC파크타운)",37.5466501,127.075044,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
33,건명약국,02-435-3900,서울특별시,서울특별시 중랑구 면목로 421,37.589608,127.0870355,서울특별시 중랑구 면목본동 126-6,09:20~20:30,09:20~25:00,09:20~20:20,09:20~20:20,09:20~17:00,20:00~25:00,22:00~25:00,
34,건인약국,031-423-1185,경기도,경기도 안양시 동안구 인덕원로24번길 56 (관양동),37.3998017,126.9751835,,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,,
35,경기약국,031-765-8562,경기도,경기도 광주시 고불로 58 (중대동),37.3931052,127.2315306,,06:30~23:00,06:30~23:00,06:30~23:00,06:30~23:00,06:30~23:00,06:30~23:00,06:30~23:00,
36,경남약국,051-325-3355,부산광역시,"부산광역시 사상구 사상로 194, 괘법동 메디컬센터 1층 (괘법동)",35.1663438,128.9905564,부산광역시 사상구 괘법동 546-12,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00
37,경희약국,053-253-4467,대구광역시,대구광역시 중구 국채보상로 599-1 (문화동),35.8721622,128.597522,,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00
38,고래약국,02-333-7967,서울특별시,"서울특별시 마포구 신촌로 지하 90, 신촌역 B1 240-107호 (노고산동)",37.553061,126.9369519,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
39,고려원약국,032-541-0248,인천광역시,"인천광역시 계양구 경명대로 1074, 삼환1빌딩 102호 (계산동)",37.5430554,126.7262044,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~17:00,,09:00~13:00
40,고현서울약국,055-636-8539,경상남도,"경상남도 거제시 서문로5길 6, 104호 (고현동)",34.8904873,128.6201182,,08:30~23:00,08:30~21:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~18:00,09:00~18:00,09:00~18:00
41,곰돌이스타약국,02-595-8795,서울특별시,"서울특별시 서초구 방배로 226, 3층 303호 (방배동)",37.4934306,126.9907258,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~19:00,09:00~19:00,09:00~19:00
42,공단약국,031-683-3567,경기도,"경기도 평택시 포승읍 평택항로 174, 만호빌딩",,,,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~18:00,,
43,공약국,061-794-0911,전라남도,"전라남도 광양시 중마중앙로 81, 1층 (중동)",34.9374161,127.6977605,,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,10:00~24:00,10:00~24:00
44,관악수약국,02-887-3606,서울특별시,서울특별시 관악구 호암로 600,37.4706344,126.9337182,서울특별시 관악구 대학동 1525-3,09:00~22:10,09:00~22:10,09:00~22:10,09:00~22:10,09:00~22:10,09:00~22:10,09:30~21:30,09:00~22:00
45,광장온누리약국,02-886-3509,서울특별시,"서울특별시 관악구 신림로 107, 1층 (신림동)",37.4704935,126.9373852,서울특별시 관악구 대학동 1516-2,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,,
46,광주보령약국,062-352-7588,광주광역시,"광주광역시 서구 상무대로1080번길 1, 1층 (화정동)",35.1523,126.8802568,광주광역시 서구 화정동 774-4 1층,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,08:30~23:00,09:00~22:30,08:30~23:00
47,광주약국,061-351-2228,전라남도,전라남도 영광군 영광읍 현암길 58,35.2756443,126.5109992,전라남도 영광군 영광읍 남천리 262,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30
48,광주참약국,02-756-3609,서울특별시,서울특별시 중구 퇴계로 45 (남창동),37.5578822,126.9772626,서울특별시 중구 남창동 47-12 남일물산 1층,08:00~21:00,08:00~25:00,08:00~21:00,08:00~25:00,08:00~21:00,08:00~21:00,22:00~25:00,
49,광주태평양약국,031-798-6240,경기도,"경기도 광주시 중앙로 101, 클리닉빌딩 제1층 103,104호 (경안동)",37.4087807,127.2583995,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
50,구로2호선약국,070-7672-0012,서울특별시,"서울특별시 구로구 도림천로 477, 구로디지털단지역 지상1층 001호 (구로동)",37.4851265,126.9015288,,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
51,구민사약국,031-403-2913,경기도,"경기도 안산시 단원구 화정천서로3길 7, (선부동)",37.3430975,126.8170867,경기도 안산시 단원구 선부3동 1089-3,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,16:00~23:00,15:00~24:30
52,구정열린약국,033-644-7133,강원도,강원도 강릉시 구정면 범일로 444 (구정면),37.7272817,128.8790703,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
53,굿모닝약국,032-323-4809,경기도,"경기도 부천시 석천로 188, 1층 (중동, 이마트)",37.5040222,126.7639393,경기도 부천시 원미구 중동 1157,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
54,굿약국,02-535-8233,서울특별시,"서울특별시 서초구 서초대로77길 24, 강남 지웰타워2 (서초동)",,,,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,,
55,권선중앙약국,031-226-2326,경기도,경기도 수원시 권선구 동수원로242번길 27 (권선동),37.2508723,127.036092,,12:00~24:00,12:00~24:00,12:00~24:00,12:00~24:00,12:00~24:00,12:00~24:00,14:00~24:00,16:00~24:00
56,그랜드약국,02-462-8447,서울특별시,"서울특별시 광진구 아차산로29길 55, (화양동)",37.5425511,127.069033,서울특별시 광진구 화양동 34-4,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,11:00~22:30,11:00~22:30
57,글꽃약국,042-223-0216,대전광역시,"대전광역시 중구 계백로1716번길 26, 미성프라자 204호 (문화동)",36.3204581,127.4102496,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30
58,금강온누리약국,02-2678-5869,서울특별시,서울특별시 영등포구 영중로 10-1 (영등포동3가),37.5171239,126.9081027,,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,09:00~22:00,09:00~22:00
59,금광약국,031-755-1924,경기도,경기도 성남시 수정구 시민로 227,37.4480422,127.1405173,경기도 성남시 수정구 태평4동 2370,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~22:00,,10:00~22:00
60,금왕약국,02-763-5493,서울특별시,"서울특별시 종로구 창신5길 19, (창신동)",37.5738368,127.01159,서울특별시 종로구 창신2동 131-8,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~19:30,
61,금정산약국,051-995-1603,부산광역시,부산광역시 북구 상학로 3(만덕동),35.214277,129.0366316,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,18:00~23:00,09:00~23:00
62,금호스타약국,062-383-8255,광주광역시,"광주광역시 서구 금화로 71, 미미빌딩 1층 (금호동)",35.1324133,126.8564746,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
63,기린약국,050-71316-7241,서울특별시,서울특별시 서초구 잠원로 24 반포자이프라자상가 1층,37.5070704,127.0098014,서울특별시 서초구 반포동 20-45 반포자이플라자 반포자이프라자상가 1층,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,22:00~25:00,
64,기호약국,02-463-8050,서울특별시,"서울특별시 광진구 군자로 25, (화양동)",37.5453662,127.0705543,서울특별시 광진구 화양동 15-1,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~14:00,,
65,길동보룡약국,02-477-4114,서울특별시,서울특별시 강동구 양재대로 1478 (길동),37.5376585,127.140232,,08:00~22:50,08:00~22:50,08:00~22:50,08:00~22:50,08:00~22:50,08:00~22:50,09:00~22:00,09:00~22:00
66,나나약국,041-736-5035,충청남도,"충청남도 논산시 시민로132번길 48, 115호 (내동)",36.1818879,127.1031334,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
67,나래약국,062-675-0203,광주광역시,"광주광역시 남구 대남대로 131, 미래아동병원 1층 (주월동)",35.1335713,126.9108466,광주광역시 남구 주월동 1250-10,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
68,나래종로약국,070-4221-9797,광주광역시,광주광역시 북구 첨단연신로 97 (신용동),35.2179725,126.8668967,광주광역시 북구 신용동 733,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,09:00~22:00,09:00~22:00
69,나현약국,02-936-7718,서울특별시,"서울특별시 노원구 상계로12길 41, (상계동)",37.6563873,127.0696141,서울특별시 노원구 상계2동 176-103,09:30~25:00,09:30~25:00,09:30~25:00,09:30~25:00,09:30~25:00,10:00~25:00,10:00~25:00,10:00~25:00
70,낙산약국,064-744-2688,제주특별자치도,"제주특별자치도 제주시 도령로 87, 현대오피스텔 1층 106,107호 (연동)",33.490856,126.4873106,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
71,남구로약국,02-838-3104,서울특별시,서울특별시 구로구 구로동로 33 (가리봉동),37.4845083,126.8860234,,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00
72,남산태평양약국,043-847-8051,충청북도,"충청북도 충주시 남산4길 52, (교현동)",36.9664224,127.9448459,충청북도 충주시 교현1동 981,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
73,남수원약국,031-223-4746,경기도,경기도 화성시 봉담읍 와우안길 65 (봉담읍),37.2170438,126.9749513,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
74,남춘천대형약국,033-262-9328,강원도,강원도 춘천시 신동면 김유정로 1634,37.8061256,127.7181918,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
75,노닐약국,042-622-5511,대전광역시,대전광역시 동구 동서대로 1689 서관 1층 (용전동),36.3502842,127.4366222,대전광역시 동구 용전동 63-3 대전복합터미널(서관) 서관 1층,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00,07:30~24:00
76,노바약국,02-542-3696,서울특별시,서울특별시 강남구 강남대로118길 51,37.5074696,127.0272194,서울특별시 강남구 논현동 180-18,14:00~24:00,14:00~24:00,14:00~24:00,14:00~24:00,14:00~24:00,14:00~24:00,14:00~22:00,14:00~22:00
77,노벨약국,02-898-0607,경기도,"경기도 광명시 하안로 295, 1층 (하안동)",37.4619798,126.8799565,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
78,노벨온누리약국,02-357-7070,서울특별시,"서울특별시 은평구 연서로 1, 105호(역촌동, 리더스파크)",37.5991964,126.9153636,서울특별시 은평구 역촌동 85-41,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,,10:00~18:00
79,녹십자약국,02-3662-6143,서울특별시,서울특별시 강서구 화곡로64길 78,37.5557665,126.8571546,서울특별시 강서구 등촌1동 654-7,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,14:00~23:00,14:00~23:00
80,녹십자해솔약국,031-401-1967,경기도,"경기도 안산시 상록구 해양5로 11, 상가 213호 (사동)",37.3091639,126.8567162,경기도 안산시 상록구 성포동 586 홈플러스 안산점,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~24:00,09:00~23:00,10:00~22:30
81,논현밝은약국,02-2135-2846,서울특별시,"서울특별시 강남구 강남대로122길 10, 영흥빌딩 1층 일부호 (논현동)",37.5075984,127.0240778,,11:00~26:00,11:00~26:00,11:00~26:00,11:00~26:00,11:00~26:00,11:00~26:00,11:00~26:00,11:00~26:00
82,논현프라자약국,032-441-3170,인천광역시,"인천광역시 남동구 논고개로 117, 메트로타워 (논현동)",37.4016522,126.723846,인천광역시 남동구 논현동 631-9 107호,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,,09:00~23:00
83,농수산약국,02-400-1424,서울특별시,서울특별시 송파구 양재대로 932 (가락동),37.4952783,127.1157128,서울특별시 송파구 가락동 600 가락동 농수산물도매시장,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~16:00,18:00~14:00,
84,뉴녹십자약국,032-343-0307,경기도,"경기도 부천시 부일로 727, 1층 (역곡동, 2000BNG빌딩)",37.4916029,126.8128273,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,09:00~22:00
85,뉴본약국,031-486-8283,경기도,"경기도 안산시 단원구 선부로 199, 동진프라자 105-106호 (선부동)",37.3417929,126.817097,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~22:30,09:00~22:30,09:00~22:30
86,뉴프라임약국,02-403-2638,서울특별시,"서울특별시 송파구 송파대로 278, 1층 (가락동)",37.5030046,127.1230379,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,08:00~23:00,09:00~21:00,09:00~22:00
87,늘봄약국,031-465-0111,경기도,경기도 안양시 만안구 박달로 531 (박달동),37.4027243,126.9118127,,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,
88,늘열린약국,055-336-7924,경상남도,"경상남도 김해시 분성로 536, 김해어방우편취급소 (어방동)",35.235281,128.9045316,경상남도 김해시 어방동 1096-12번지,07:00~23:45,07:00~23:45,07:00~23:45,07:00~23:45,07:00~23:45,07:00~23:45,07:00~23:45,07:00~23:45
89,다나약국,031-374-2878,경기도,"경기도 오산시 오산로 70, (갈곶동)",37.132842,127.0638348,경기도 오산시 갈곶동 126-21,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~23:00,
90,다낫는럭스타워약국,070-8815-1626,경기도,"경기도 성남시 분당구 대왕판교로606번길 39, 럭스타워 109,110호 (삼평동)",37.3964433,127.1114827,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,18:00~25:00,18:00~25:00
91,다산현대약국,070-7576-2443,경기도,"경기도 남양주시 다산순환로 350, 다산진건지구 상업2-7-1,2 106,107호 (다산동)",37.628367,127.149116,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
92,다원약국,031-901-0121,경기도,경기도 고양시 일산동구 정발산로 39 대양빌딩 (장항동),37.6573811,126.7733481,경기도 고양시 일산동구 장항동 856-1 대양빌딩 대양빌딩,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,11:00~24:00,11:00~24:00
93,다정한약국,032-544-0758,인천광역시,"인천광역시 계양구 장제로 822 , 지상2층 (계산동, 롯데마트 계양점)",37.5451859,126.7321057,"인천광역시 계양구 계산동 1059-1 롯데마트 계양점 , 지상2층 (계산동, 롯데마트 계양점)",10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,
94,단골온누리약국,063-465-9998,전라북도,전라북도 군산시 하나운로 38 105 나운동 나운프라자1층),35.9697724,126.7107647,전라북도 군산시 나운동 107-8 나운프라자 105 나운동 나운프라자1층),08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,18:30~25:00,08:30~25:00
95,대광약국,041-545-1488,충청남도,"충청남도 아산시 모종남로12번길 7, 1층 (모종동)",36.7810426,127.0280662,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,12:00~25:00,09:00~25:00
96,대구약국,054-974-4073,경상북도,경상북도 칠곡군 약목면 약목로 72,36.0328709,128.3663118,경상북도 칠곡군 약목면 복성리 949-3외 1필지,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
97,대동약국,062-223-7675,광주광역시,광주광역시 동구 백서로125번길 25,35.1439234,126.9179569,광주광역시 동구 금동 100-2,10:00~26:00,10:00~26:00,10:00~26:00,10:00~26:00,10:00~26:00,10:00~26:00,18:00~26:00,18:00~26:00
98,대명약국,032-543-0224,인천광역시,"인천광역시 계양구 효서로 233, 109호 (작전동)",37.5281222,126.7219727,인천광역시 계양구 작전2동 865-37,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:00,,10:00~22:00
99,대명약국,02-844-5433,서울특별시,"서울특별시 영등포구 영신로19길 7, (영등포동)",37.5142196,126.9069031,서울특별시 영등포구 영등포동1가 618-79,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:00,,
100,대명약국,032-425-2500,인천광역시,"인천광역시 부평구 길주로364번길 9, 123호 (산곡동, 부평 IPARK)",37.5081282,126.7020205,,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:00,,
101,대성약국,063-285-3276,전라북도,전라북도 전주시 완산구 문화광장로 28-1,35.8230224,127.1469235,전라북도 전주시 완산구 서노송동 616-6,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
102,대영온누리약국,041-936-1161,충청남도,충청남도 보령시 주공로 12 (동대동),36.3450322,126.6022177,충청남도 보령시 동대동 1929,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~22:00,08:30~22:30
103,대우사약국,02-753-2703,서울특별시,서울특별시 중구 세종대로 22 (남대문로5가),37.5562032,126.9749646,서울특별시 중구 남대문로5가 17-3,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~21:00,,
